,fase,fase_end,fase_count,wind_dir,location,windfase,windfase_end,windfase_count,windduur,windduur_end,windduur_count,opzetduur,opzetduur_end,opzetduur_count
0,-5.0,-4.8,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
1,-4.6,-4.3999999999999995,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
2,2.5999999999999996,2.8,6.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
3,1.0,1.2,12.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
4,1.6000000000000005,1.8000000000000005,7.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
5,0.8000000000000007,1.0000000000000007,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
6,3.0,3.2,7.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
7,2.0,2.2,5.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
8,-6.0,-5.8,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
9,1.4000000000000004,1.6000000000000003,4.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
10,2.200000000000001,2.4000000000000012,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
11,1.8000000000000007,2.000000000000001,4.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
12,1.2000000000000002,1.4000000000000001,6.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
13,3.200000000000001,3.4000000000000012,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
14,4.200000000000001,4.400000000000001,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
15,3.6000000000000014,3.8000000000000016,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
16,2.8000000000000007,3.000000000000001,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
17,5.800000000000001,6.000000000000001,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
18,,,,0.0 - 22.5,hoekvanholland,-6.0,-5.0,6.0,,,,,,
19,,,,0.0 - 22.5,hoekvanholland,-10.0,-9.0,4.0,,,,,,
20,,,,0.0 - 22.5,hoekvanholland,2.0,3.0,3.0,,,,,,
21,,,,0.0 - 22.5,hoekvanholland,-5.0,-4.0,6.0,,,,,,
22,,,,0.0 - 22.5,hoekvanholland,-8.0,-7.0,2.0,,,,,,
23,,,,0.0 - 22.5,hoekvanholland,-3.0,-2.0,1.0,,,,,,
24,,,,0.0 - 22.5,hoekvanholland,-11.0,-10.0,6.0,,,,,,
25,,,,0.0 - 22.5,hoekvanholland,-15.0,-14.0,1.0,,,,,,
26,,,,0.0 - 22.5,hoekvanholland,-18.0,-17.0,1.0,,,,,,
27,,,,0.0 - 22.5,hoekvanholland,-4.0,-3.0,3.0,,,,,,
28,,,,0.0 - 22.5,hoekvanholland,-16.0,-15.0,3.0,,,,,,
29,,,,0.0 - 22.5,hoekvanholland,4.0,5.0,1.0,,,,,,
30,,,,0.0 - 22.5,hoekvanholland,-17.0,-16.0,4.0,,,,,,
31,,,,0.0 - 22.5,hoekvanholland,0.0,1.0,3.0,,,,,,
32,,,,0.0 - 22.5,hoekvanholland,-22.0,-21.0,1.0,,,,,,
33,,,,0.0 - 22.5,hoekvanholland,-21.0,-20.0,1.0,,,,,,
34,,,,0.0 - 22.5,hoekvanholland,-14.0,-13.0,2.0,,,,,,
35,,,,0.0 - 22.5,hoekvanholland,-12.0,-11.0,3.0,,,,,,
36,,,,0.0 - 22.5,hoekvanholland,-9.0,-8.0,2.0,,,,,,
37,,,,0.0 - 22.5,hoekvanholland,18.0,19.0,1.0,,,,,,
38,,,,0.0 - 22.5,hoekvanholland,-7.0,-6.0,3.0,,,,,,
39,,,,0.0 - 22.5,hoekvanholland,12.0,13.0,1.0,,,,,,
40,,,,0.0 - 22.5,hoekvanholland,-2.0,-1.0,2.0,,,,,,
41,,,,0.0 - 22.5,hoekvanholland,-13.0,-12.0,1.0,,,,,,
42,,,,0.0 - 22.5,hoekvanholland,3.0,4.0,3.0,,,,,,
43,,,,0.0 - 22.5,hoekvanholland,-24.0,-23.0,2.0,,,,,,
44,,,,0.0 - 22.5,hoekvanholland,6.0,7.0,3.0,,,,,,
45,,,,0.0 - 22.5,hoekvanholland,1.0,2.0,1.0,,,,,,
46,,,,0.0 - 22.5,hoekvanholland,8.0,9.0,1.0,,,,,,
47,,,,0.0 - 22.5,hoekvanholland,-19.0,-18.0,1.0,,,,,,
48,,,,0.0 - 22.5,hoekvanholland,,,,20.0,21.0,4.0,,,
49,,,,0.0 - 22.5,hoekvanholland,,,,33.0,34.0,3.0,,,
50,,,,0.0 - 22.5,hoekvanholland,,,,19.0,20.0,3.0,,,
51,,,,0.0 - 22.5,hoekvanholland,,,,25.0,26.0,3.0,,,
52,,,,0.0 - 22.5,hoekvanholland,,,,37.0,38.0,3.0,,,
53,,,,0.0 - 22.5,hoekvanholland,,,,29.0,30.0,2.0,,,
54,,,,0.0 - 22.5,hoekvanholland,,,,8.0,9.0,2.0,,,
55,,,,0.0 - 22.5,hoekvanholland,,,,41.0,42.0,1.0,,,
56,,,,0.0 - 22.5,hoekvanholland,,,,35.0,36.0,4.0,,,
57,,,,0.0 - 22.5,hoekvanholland,,,,26.0,27.0,2.0,,,
58,,,,0.0 - 22.5,hoekvanholland,,,,22.0,23.0,3.0,,,
59,,,,0.0 - 22.5,hoekvanholland,,,,32.0,33.0,3.0,,,
60,,,,0.0 - 22.5,hoekvanholland,,,,48.0,49.0,3.0,,,
61,,,,0.0 - 22.5,hoekvanholland,,,,50.0,51.0,1.0,,,
62,,,,0.0 - 22.5,hoekvanholland,,,,23.0,24.0,1.0,,,
63,,,,0.0 - 22.5,hoekvanholland,,,,21.0,22.0,3.0,,,
64,,,,0.0 - 22.5,hoekvanholland,,,,39.0,40.0,1.0,,,
65,,,,0.0 - 22.5,hoekvanholland,,,,30.0,31.0,1.0,,,
66,,,,0.0 - 22.5,hoekvanholland,,,,11.0,12.0,3.0,,,
67,,,,0.0 - 22.5,hoekvanholland,,,,31.0,32.0,1.0,,,
68,,,,0.0 - 22.5,hoekvanholland,,,,53.0,54.0,1.0,,,
69,,,,0.0 - 22.5,hoekvanholland,,,,36.0,37.0,2.0,,,
70,,,,0.0 - 22.5,hoekvanholland,,,,24.0,25.0,3.0,,,
71,,,,0.0 - 22.5,hoekvanholland,,,,16.0,17.0,3.0,,,
72,,,,0.0 - 22.5,hoekvanholland,,,,13.0,14.0,2.0,,,
73,,,,0.0 - 22.5,hoekvanholland,,,,47.0,48.0,1.0,,,
74,,,,0.0 - 22.5,hoekvanholland,,,,40.0,41.0,3.0,,,
75,,,,0.0 - 22.5,hoekvanholland,,,,10.0,11.0,1.0,,,
76,,,,0.0 - 22.5,hoekvanholland,,,,46.0,47.0,1.0,,,
77,,,,0.0 - 22.5,hoekvanholland,,,,56.0,57.0,2.0,,,
78,,,,0.0 - 22.5,hoekvanholland,,,,12.0,13.0,1.0,,,
79,,,,0.0 - 22.5,hoekvanholland,,,,15.0,16.0,1.0,,,
80,,,,0.0 - 22.5,hoekvanholland,,,,14.0,15.0,1.0,,,
81,,,,0.0 - 22.5,hoekvanholland,,,,17.0,18.0,1.0,,,
82,,,,0.0 - 22.5,hoekvanholland,,,,42.0,43.0,1.0,,,
83,,,,0.0 - 22.5,hoekvanholland,,,,27.0,28.0,1.0,,,
84,,,,0.0 - 22.5,hoekvanholland,,,,,,,7.0,8.0,10.0
85,,,,0.0 - 22.5,hoekvanholland,,,,,,,15.0,16.0,1.0
86,,,,0.0 - 22.5,hoekvanholland,,,,,,,2.0,3.0,4.0
87,,,,0.0 - 22.5,hoekvanholland,,,,,,,6.0,7.0,3.0
88,,,,0.0 - 22.5,hoekvanholland,,,,,,,5.0,6.0,5.0
89,,,,0.0 - 22.5,hoekvanholland,,,,,,,1.0,2.0,4.0
90,,,,0.0 - 22.5,hoekvanholland,,,,,,,8.0,9.0,4.0
91,,,,0.0 - 22.5,hoekvanholland,,,,,,,3.0,4.0,3.0
92,,,,0.0 - 22.5,hoekvanholland,,,,,,,14.0,15.0,1.0
93,,,,0.0 - 22.5,hoekvanholland,,,,,,,10.0,11.0,1.0
94,,,,0.0 - 22.5,hoekvanholland,,,,,,,4.0,5.0,3.0
95,,,,0.0 - 22.5,hoekvanholland,,,,,,,11.0,12.0,3.0
96,,,,0.0 - 22.5,hoekvanholland,,,,,,,13.0,14.0,3.0
97,,,,0.0 - 22.5,hoekvanholland,,,,,,,9.0,10.0,2.0
98,,,,0.0 - 22.5,hoekvanholland,,,,,,,12.0,13.0,2.0
99,1.0,1.2,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
100,1.2000000000000002,1.4000000000000001,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
101,2.0,2.2,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
102,2.8000000000000007,3.000000000000001,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
