,sector,count,mean_windspeed,wind_dir,location
0,0,77,23.22831168831169,0.0 - 22.5,hoekvanholland
1,1,53,23.361320754716978,22.5 - 45.0,hoekvanholland
2,2,33,23.001515151515154,45.0 - 67.5,hoekvanholland
3,3,32,23.114999999999995,67.5 - 90.0,hoekvanholland
4,4,10,22.976,90.0 - 112.5,hoekvanholland
5,5,1,22.42,112.5 - 135.0,hoekvanholland
6,6,7,22.852857142857143,135.0 - 157.5,hoekvanholland
7,7,145,23.05710344827586,157.5 - 180.0,hoekvanholland
8,8,1498,23.55038050734312,180.0 - 202.5,hoekvanholland
9,9,4728,24.030249576988158,202.5 - 225.0,hoekvanholland
10,10,9087,24.34545174425002,225.0 - 247.5,hoekvanholland
11,11,5007,24.444649490713015,247.5 - 270.0,hoekvanholland
12,12,3027,24.196564255037995,270.0 - 292.5,hoekvanholland
13,13,1381,24.085083272990587,292.5 - 315.0,hoekvanholland
14,14,622,23.919565916398714,315.0 - 337.5,hoekvanholland
15,15,205,23.716634146341462,337.5 - 360.0,hoekvanholland
16,0,138,23.034202898550728,0.0 - 22.5,delfzijl
17,1,138,22.689782608695655,22.5 - 45.0,delfzijl
18,2,113,22.409911504424777,45.0 - 67.5,delfzijl
19,3,144,22.120416666666667,67.5 - 90.0,delfzijl
20,4,115,22.195130434782612,90.0 - 112.5,delfzijl
21,5,27,22.16444444444444,112.5 - 135.0,delfzijl
22,6,18,22.210000000000004,135.0 - 157.5,delfzijl
23,7,122,22.26344262295082,157.5 - 180.0,delfzijl
24,8,1098,22.695601092896176,180.0 - 202.5,delfzijl
25,9,3990,23.064390977443608,202.5 - 225.0,delfzijl
26,10,7574,23.369580142593072,225.0 - 247.5,delfzijl
27,11,6003,23.614649341995673,247.5 - 270.0,delfzijl
28,12,3409,23.497101789381052,270.0 - 292.5,delfzijl
29,13,1964,23.161537678207736,292.5 - 315.0,delfzijl
30,14,1126,22.931802841918294,315.0 - 337.5,delfzijl
31,15,276,22.92949275362319,337.5 - 360.0,delfzijl
32,0,148,21.34736486486487,0.0 - 22.5,vlissingen
33,1,97,21.154226804123713,22.5 - 45.0,vlissingen
34,2,91,20.902307692307694,45.0 - 67.5,vlissingen
35,3,67,20.762089552238805,67.5 - 90.0,vlissingen
36,4,24,20.81125,90.0 - 112.5,vlissingen
37,5,3,20.69333333333333,112.5 - 135.0,vlissingen
38,6,8,20.535,135.0 - 157.5,vlissingen
39,7,201,20.941393034825868,157.5 - 180.0,vlissingen
40,8,1279,21.188584831899927,180.0 - 202.5,vlissingen
41,9,4044,21.602532146389713,202.5 - 225.0,vlissingen
42,10,9170,21.879376226826626,225.0 - 247.5,vlissingen
43,11,4373,22.07323805168076,247.5 - 270.0,vlissingen
44,12,3086,21.849990278677893,270.0 - 292.5,vlissingen
45,13,1756,21.727784738041002,292.5 - 315.0,vlissingen
46,14,960,21.551635416666663,315.0 - 337.5,vlissingen
47,15,395,21.329848101265824,337.5 - 360.0,vlissingen
48,0,103,24.95873786407767,0.0 - 22.5,harlingen
49,1,78,24.792179487179485,22.5 - 45.0,harlingen
50,2,53,24.55528301886793,45.0 - 67.5,harlingen
51,3,71,24.340704225352113,67.5 - 90.0,harlingen
52,4,44,24.347045454545455,90.0 - 112.5,harlingen
53,5,9,24.36,112.5 - 135.0,harlingen
54,6,9,24.23888888888889,135.0 - 157.5,harlingen
55,7,127,24.57070866141732,157.5 - 180.0,harlingen
56,8,1359,24.89557027225901,180.0 - 202.5,harlingen
57,9,4813,25.269247870351133,202.5 - 225.0,harlingen
58,10,7357,25.561700421367416,225.0 - 247.5,harlingen
59,11,5872,25.80412295640327,247.5 - 270.0,harlingen
60,12,3456,25.623561921296297,270.0 - 292.5,harlingen
61,13,1562,25.31927016645327,292.5 - 315.0,harlingen
62,14,852,25.11890845070422,315.0 - 337.5,harlingen
63,15,261,24.973026819923373,337.5 - 360.0,harlingen
